Results for 108th Congress,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,congress,Results for 109th Congress,Results for 110th Congress,Results for 111th Congress,Results for 112th Congress,Results for 113th Congress,Results for 114th Congress,Results for 115th Congress,Results for 116th Congress,Results for 117th Congress,Results for 118th Congress
Baird,Brian,,,,03/07/1956,,2,U.S. Representative,Democrat,WA,3,01/03/1999,01/03/2011,Protestant,White,Doctorate degree,Education,Medicine,,,,Did not serve,,,108,,,,,,,,,,
Baker,Richard,H.,,,05/22/1948,,2,U.S. Representative,Republican,LA,6,01/06/1987,02/02/2008,Methodist,White,Bachelor's degree,Real Estate,,,,,Did not serve,,,108,,,,,,,,,,
Baldwin,Tammy,,,,02/11/1962,,1,U.S. Representative,Democrat,WI,2,01/03/1999,01/03/2013,Not specified,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Ballance,Frank,W.,Jr.,,02/15/1942,02/22/2019,2,U.S. Representative,Democrat,NC,1,01/03/2003,01/02/2005,Baptist,African American,Professional degree,Education,Law,,,,NC National Guard and Reserve,,,108,,,,,,,,,,
Ballenger,Cass,,,,12/06/1926,02/18/2015,2,U.S. Representative,Republican,NC,10,01/06/1987,01/03/2005,Episcopalian,Not specified,Bachelor's degree,Public service/politics,,,,,Navy Air Corps,,,108,,,,,,,,,,
Barrett,James,Gresham,,Gresham,02/14/1961,,2,U.S. Representative,Republican,SC,3,01/03/2003,01/03/2011,Baptist,White,Bachelor's degree,Business or banking,,,,,U.S. Army,,,108,,,,,,,,,,
Bartlett,Roscoe,G.,,,06/03/1926,,2,U.S. Representative,Republican,MD,6,01/05/1993,01/03/2013,Seventh-Day Adventist,White,Doctorate degree,Agriculture,Business or banking,Education,Engineering,Real Estate,Did not serve,,,108,,,,,,,,,,
Barton,Joe,Linus,,,09/15/1949,,2,U.S. Representative,Republican,TX,6,01/03/1985,01/03/2019,Methodist,White,Master's degree,Misc.,Public service/politics,,,,Did not serve,,,108,,,,,,,,,,
Bass,Charles,F.,,,01/08/1952,,2,U.S. Representative,Republican,NH,2,01/04/1995,01/03/2007,Episcopalian,White,Bachelor's degree,Business or banking,Congressional Aide,,,,Did not serve,,,108,,,,,,,,,,
Baucus,Max,Sieben,,,12/11/1941,,2,U.S. Senator,Democrat,MT,,01/15/1979,02/06/2014,United Church of Christ,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Bayh,Evan,,,,12/26/1955,,2,U.S. Senator,Democrat,IN,,01/03/1999,01/03/2011,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Beauprez,Bob,,,,09/22/1948,,2,U.S. Representative,Republican,CO,7,01/03/2003,01/03/2007,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,108,,,,,,,,,,
Becerra,Xavier,,,,01/26/1958,,2,U.S. Representative,Democrat,CA,31,01/03/2003,01/03/2013,Roman Catholic,Hispanic,Bachelor's degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Bell,Chris,,,Chris,11/23/1959,,2,U.S. Representative,Democrat,TX,25,01/03/2003,01/03/2005,Episcopalian,White,Professional degree,Business or banking,Journalism,Law,,,Did not serve,,,108,,,,,,,,,,
Bennett,Robert,F.,,,09/18/1933,05/04/2016,2,U.S. Senator,Republican,UT,,01/05/1993,01/03/2011,Mormon,White,Bachelor's degree,Business or banking,Congressional Aide,Misc.,,,National Guard,,,108,,,,,,,,,,
Bereuter,Douglas,Kent,,,10/06/1939,,2,U.S. Representative,Republican,NE,1,01/15/1979,01/03/2005,Lutheran,White,Master's degree,Education,Public service/politics,,,,Army,,,108,,,,,,,,,,
Berkley,Shelley,,,,01/20/1951,,1,U.S. Representative,Democrat,NV,1,01/03/1999,01/03/2013,Jewish,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Berman,Howard,L.,,,04/15/1941,,2,U.S. Representative,Democrat,CA,28,01/03/2003,01/03/2013,Jewish,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Berry,Marion,,,,08/27/1942,,2,U.S. Representative,Democrat,AR,1,01/07/1997,01/03/2011,Methodist,White,Bachelor's degree,Agriculture,Public service/politics,,,,Did not serve,,,108,,,,,,,,,,
Biden,Joseph,Robinette,Jr.,Joe,11/20/1942,,2,U.S. Senator,Democrat,DE,,01/03/1973,01/15/2009,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Biggert,Judith,Borg,,,08/15/1937,,1,U.S. Representative,Republican,IL,13,01/03/1999,01/03/2013,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Bilirakis,Michael,,,,07/16/1930,,2,U.S. Representative,Republican,FL,9,01/03/1983,01/03/2007,Greek Orthodox,White,Professional degree,Business or banking,Engineering,Law,,,Air Force,,,108,,,,,,,,,,
Bingaman,Jeff,,,,10/03/1943,,2,U.S. Senator,Democrat,NM,,01/03/1983,01/03/2013,Methodist,White,Professional degree,Law,,,,,Army Reserve,,,108,,,,,,,,,,
Bishop,Robert,,,Rob,07/13/1951,,2,U.S. Representative,Republican,UT,1,01/03/2003,01/03/2021,Mormon,White,Bachelor's degree,Education,,,,,Did not serve,,,108,,,,,,,,,,
Bishop,Sanford,D.,Jr.,,02/04/1947,,2,U.S. Representative,Democrat,GA,2,01/03/1993,01/03/2023,Baptist,African American,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Bishop,Sanford,D.,Jr.,,02/04/1947,,2,U.S. Representative,Democrat,GA,2,01/03/1993,01/03/2025,Baptist,African American,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Bishop,Timothy,H.,,,06/01/1950,,2,U.S. Representative,Democrat,NY,1,01/03/2003,01/03/2015,Roman Catholic,White,Master's degree,Education,,,,,Did not serve,,,108,,,,,,,,,,
Blackburn,Marsha,,,,06/06/1952,,1,U.S. Representative,Republican,TN,7,01/03/2003,01/03/2019,Presbyterian,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,108,,,,,,,,,,
Blumenauer,Earl,,,,08/16/1948,,2,U.S. Representative,Democrat,OR,3,05/21/1996,01/03/2023,Non-denominational Prostestant,White,Professional degree,Law,Public service/politics,,,,Did not serve,,,108,,,,,,,,,,
Blumenauer,Earl,,,,08/16/1948,,2,U.S. Representative,Democrat,OR,3,05/21/1996,01/03/2025,Non-denominational Prostestant,White,Professional degree,Law,Public service/politics,,,,Did not serve,,,108,,,,,,,,,,
Blunt,Roy,,,,01/10/1950,,2,U.S. Representative,Republican,MO,7,01/07/1997,01/03/2011,Baptist,White,Master's degree,Education,,,,,Did not serve,,,108,,,,,,,,,,
Boehlert,Sherwood,L.,,,09/28/1936,,2,U.S. Representative,Republican,NY,24,01/03/2003,01/03/2007,Roman Catholic,White,Bachelor's degree,Business or banking,Congressional Aide,,,,Army,,,108,,,,,,,,,,
Boehner,John,A.,,,11/17/1949,,2,U.S. Representative,Republican,OH,8,01/03/1991,10/31/2015,Roman Catholic,White,Bachelor's degree,Business or banking,Public service/politics,,,,Navy,,,108,,,,,,,,,,
Bond,Christopher,S.,,Kit,03/06/1939,,2,U.S. Senator,Republican,MO,,01/06/1987,01/03/2011,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Bonilla,Henry,,,,01/02/1954,,2,U.S. Representative,Republican,TX,23,01/05/1993,01/03/2007,Baptist,Hispanic,Bachelor's degree,Business or banking,Journalism,Misc.,,,Did not serve,,,108,,,,,,,,,,
Bonner,Josiah,Robbins,Jr.,Jo,11/19/1959,,2,U.S. Representative,Republican,AL,1,01/03/2003,08/02/2013,Episcopalian,White,Bachelor's degree,Congressional Aide,,,,,Did not serve,,,108,,,,,,,,,,
Bono Mack,Mary,,,,10/24/1961,,1,U.S. Representative,Republican,CA,45,01/03/2003,01/03/2013,Protestant,White,Bachelor's degree,Misc.,Public service/politics,,,,Did not serve,,,108,,,,,,,,,,
Boozman,John,N.,,,12/10/1950,,2,U.S. Representative,Republican,AR,3,11/20/2001,01/02/2011,Baptist,White,Professional degree,Medicine,,,,,Did not serve,,,108,,,,,,,,,,
Boswell,Leonard,L.,,,01/10/1934,08/17/2018,2,U.S. Representative,Democrat,IA,3,01/07/1997,01/03/2013,Reorganized Church of Jesus Christ of Latter-Day Saints,White,Bachelor's degree,Agriculture,Public service/politics,,,,Army,,,108,,,,,,,,,,
Boucher,Frederick,C.,,Rick,08/01/1946,,2,U.S. Representative,Democrat,VA,9,01/03/1983,01/03/2011,Methodist,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Boxer,Barbara,,,,11/11/1940,,1,U.S. Senator,Democrat,CA,,01/05/1993,01/03/2017,Jewish,White,Bachelor's degree,Business or banking,Congressional Aide,Journalism,,,Did not serve,,,108,,,,,,,,,,
Boyd,F.,Allen,Jr.,Allen,06/06/1945,,2,U.S. Representative,Democrat,FL,2,01/07/1997,01/03/2011,Methodist,White,Bachelor's degree,Agriculture,Public service/politics,,,,Army,,,108,,,,,,,,,,
Bradley,Jeb,E.,,,10/20/1952,,2,U.S. Representative,Republican,NH,1,01/03/2003,01/03/2007,Protestant,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,108,,,,,,,,,,
Brady,Kevin,,,,04/07/1955,,2,U.S. Representative,Republican,TX,8,01/20/1997,01/03/2023,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,108,,,,,,,,,,
Brady,Robert,,,,04/07/1945,,2,U.S. Representative,Democrat,PA,1,05/19/1998,01/03/2019,Roman Catholic,White,High School graduate,Construction/building trades,Labor leader,Public service/politics,,,Did not serve,,,108,,,,,,,,,,
Breaux,John,B.,,,03/01/1944,,2,U.S. Senator,Democrat,LA,,01/06/1987,01/03/2005,Roman Catholic,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,,108,,,,,,,,,,
Brown,Corrine,,,,11/11/1946,,1,U.S. Representative,Democrat,FL,3,01/05/1993,01/03/2013,Baptist,African American,Professional degree,Business or banking,Education,,,,Did not serve,,,108,,,,,,,,,,
Brown,Henry,,Jr.,,12/20/1935,,2,U.S. Representative,Republican,SC,1,01/03/2001,01/03/2011,Baptist,White,High School graduate,,,,,,Did not serve,,,108,,,,,,,,,,
Brown,Sherrod,,,,11/09/1952,,2,U.S. Representative,Democrat,OH,13,01/05/1993,01/03/2007,Presbyterian,White,Master's degree,Education,,,,,Did not serve,,,108,,,,,,,,,,
Brownback,Sam,,,,09/12/1956,,2,U.S. Senator,Republican,KS,,11/27/1996,01/03/2011,Methodist,White,Professional degree,Education,Journalism,Law,Public service/politics,,Did not serve,,,108,,,,,,,,,,
Brown-Waite,Virginia,,,Ginny,10/05/1943,,1,U.S. Representative,Republican,FL,5,01/03/2003,01/03/2011,Roman Catholic,White,Master's degree,Education,,,,,Did not serve,,,108,,,,,,,,,,
Bunning,James,Paul David,,Jim,10/23/1931,05/26/2017,2,U.S. Senator,Republican,KY,,01/03/1999,01/03/2011,Roman Catholic,White,Bachelor's degree,Business or banking,Sports,,,,Did not serve,,,108,,,,,,,,,,
Burgess,Michael,,,,12/23/1950,,2,U.S. Representative,Republican,TX,26,01/20/2003,01/03/2023,Episcopalian,White,Master's degree,Medicine,,,,,Did not serve,,,108,,,,,,,,,,
Burgess,Michael,,,,12/23/1950,,2,U.S. Representative,Republican,TX,26,01/20/2003,01/03/2025,Episcopalian,White,Master's degree,Medicine,,,,,Did not serve,,,108,,,,,,,,,,
Burns,Conrad,,,,01/25/1935,04/28/2016,2,U.S. Senator,Republican,MT,,01/03/1989,01/02/2007,Lutheran,White,High School graduate,Business or banking,,,,,Marine Corps,,,108,,,,,,,,,,
Burns,Max,,,Max,11/08/1948,,2,U.S. Representative,Republican,GA,12,01/03/2003,01/03/2005,Not specified,White,Doctorate degree,,,,,,U.S. Army Reserve,,,108,,,,,,,,,,
Burr,Richard,M.,,,11/30/1955,,2,U.S. Representative,Republican,NC,5,01/04/1995,01/03/2005,Methodist,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,108,,,,,,,,,,
Burton,Danny,Lee,,Dan,06/21/1938,,2,U.S. Representative,Republican,IN,5,01/03/2003,01/03/2013,Protestant,White,Unknown,Business or banking,Real Estate,,,,Army,Reserve,Reserve,108,,,,,,,,,,
Butterfield,George,Kenneth,Jr.,,04/27/1947,,2,U.S. Representative,Democrat,NC,1,07/20/2004,12/30/2022,Baptist,African American,Professional degree,Law,,,,,Army,,,108,,,,,,,,,,
Buyer,Stephen,Earle,,Steve,11/26/1958,,2,U.S. Representative,Republican,IN,4,01/03/2003,01/03/2011,Methodist,White,Professional degree,Law,,,,,Army,Army Reserve,,108,,,,,,,,,,
Byrd,Robert,Carlyle,,,11/20/1917,06/28/2010,2,U.S. Senator,Democrat,WV,,01/07/1959,06/28/2010,Baptist,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Calvert,Ken,,,,06/08/1953,,2,U.S. Representative,Republican,CA,44,01/03/2003,01/03/2013,Protestant,White,Bachelor's degree,Business or banking,Real Estate,,,,Did not serve,,,108,,,,,,,,,,
Camp,Dave,L.,,,07/09/1953,,2,U.S. Representative,Republican,MI,4,01/05/1993,01/03/2015,Roman Catholic,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,,108,,,,,,,,,,
Campbell,Ben,Nighthorse,,,04/13/1933,,2,U.S. Senator,Republican,CO,,03/03/1995,01/02/2005,Not specified,Native American,Bachelor's degree,Agriculture,Business or banking,Education,,,Air Force,,,108,,,,,,,,,,
Cannon,Christopher,B.,,,10/20/1950,,2,U.S. Representative,Republican,UT,3,01/07/1997,01/05/2009,Mormon,White,Bachelor's degree,Business or banking,Law,,,,Did not serve,,,108,,,,,,,,,,
Cantor,Eric,I.,,,06/06/1963,,2,U.S. Representative,Republican,VA,7,01/03/2001,08/18/2014,Jewish,White,Professional degree,Real Estate,,,,,Did not serve,,,108,,,,,,,,,,
Cantwell,Maria,E.,,,10/13/1958,,1,U.S. Senator,Democrat,WA,,01/03/2001,01/03/2025,Roman Catholic,White,Bachelor's degree,Misc.,,,,,Did not serve,,,108,,,,,,,,,,
Capito,Shelley,Moore,,,11/26/1953,,1,U.S. Representative,Republican,WV,2,01/03/2001,01/03/2015,Presbyterian,White,Master's degree,Education,,,,,Did not serve,,,108,,,,,,,,,,
Capps,Lois,,,,01/10/1938,,1,U.S. Representative,Democrat,CA,23,01/03/2003,01/03/2013,Lutheran,White,Master's degree,Education,Medicine,,,,Did not serve,,,108,,,,,,,,,,
Capuano,Michael,Everett,,,01/09/1952,,2,U.S. Representative,Democrat,MA,8,01/03/1999,01/03/2013,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Cardin,Benjamin,L.,,,10/05/1943,,2,U.S. Representative,Democrat,MD,3,01/06/1987,01/02/2007,Jewish,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Cardoza,Dennis,A.,,,03/21/1959,,2,U.S. Representative,Democrat,CA,18,01/03/2003,08/15/2012,Roman Catholic,White,Bachelor's degree,Real Estate,,,,,Did not serve,,,108,,,,,,,,,,
Carper,Thomas,Richard,,,01/23/1947,,2,U.S. Senator,Democrat,DE,,01/03/2001,01/03/2025,Presbyterian,White,Master's degree,Public service/politics,,,,,Navy,Reserve,,108,,,,,,,,,,
Carson,Brad,,,,03/11/1967,,2,U.S. Representative,Democrat,OK,2,01/03/2001,01/03/2005,Baptist,White,Professional degree,,,,,,Did not serve,,,108,,,,,,,,,,
Carson,Julia,,,,07/08/1938,12/15/2007,1,U.S. Representative,Democrat,IN,7,01/03/2003,12/15/2007,Baptist,African American,Bachelor's degree,Business or banking,Congressional Aide,Misc.,,,Did not serve,,,108,,,,,,,,,,
Carter,John,,,,11/06/1941,,2,U.S. Representative,Republican,TX,31,01/20/2003,01/03/2025,Lutheran,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Case,Edward,E.,,Ed,09/27/1952,,2,U.S. Representative,Democrat,HI,2,01/03/2003,01/03/2007,Protestant,White,Professional degree,Congressional Aide,,,,,Did not serve,,,108,,,,,,,,,,
Castle,Michael,N.,,,07/02/1939,,2,U.S. Representative,Republican,DE,AL,01/05/1993,01/03/2011,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Chabot,Steve,,,,01/22/1953,,2,U.S. Representative,Republican,OH,1,01/04/1995,01/05/2009,Roman Catholic,White,Professional degree,Education,Law,Public service/politics,,,Did not serve,,,108,,,,,,,,,,
Chafee,Lincoln,Davenport,,Linc,03/26/1953,,2,U.S. Senator,Republican,RI,,11/04/1999,01/03/2007,Episcopalian,White,Bachelor's degree,Misc.,,,,,Did not serve,,,108,,,,,,,,,,
Chambliss,Saxby,,,,11/10/1943,,2,U.S. Senator,Republican,GA,,01/03/2003,01/03/2015,Episcopalian,White,Professional degree,Business or banking,Law,,,,Did not serve,,,108,,,,,,,,,,
Chandler,A.,Ben,,Ben,09/12/1959,,2,U.S. Representative,Democrat,KY,6,02/17/2004,01/03/2013,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Cheney,Richard,B.,,,01/30/1941,,2,U.S. Vice President,Republican,,,01/20/2001,01/20/2009,Methodist,White,Master's degree,Business or banking,,,,,Did not serve,,,108,,,,,,,,,,
Chocola,Chris,,,,02/24/1962,,2,U.S. Representative,Republican,IN,2,01/03/2003,01/03/2007,Not specified,White,Professional degree,Business or banking,,,,,Did not serve,,,108,,,,,,,,,,
Clay,William,Lacy,Jr.,,07/27/1956,,2,U.S. Representative,Democrat,MO,1,01/03/2001,01/03/2021,Roman Catholic,African American,Bachelor's degree,Public service/politics,,,,,Did not serve,,,108,,,,,,,,,,
Clinton,Hillary,Rodham,,,10/26/1947,,1,U.S. Senator,Democrat,NY,,01/03/2001,01/21/2009,Methodist,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Clyburn,James,E.,,,07/21/1940,,2,U.S. Representative,Democrat,SC,6,01/05/1993,01/03/2023,African Methodist Episcopalian,African American,Bachelor's degree,Public service/politics,,,,,Did not serve,,,108,,,,,,,,,,
Clyburn,James,E.,,,07/21/1940,,2,U.S. Representative,Democrat,SC,6,01/05/1993,01/03/2025,African Methodist Episcopalian,African American,Bachelor's degree,Public service/politics,,,,,Did not serve,,,108,,,,,,,,,,
Coble,Howard,,,,03/18/1931,11/03/2015,2,U.S. Representative,Republican,NC,6,01/03/1985,01/03/2015,Presbyterian,White,Professional degree,Business or banking,Law,,,,Coast Guard,Reserve,Reserve,108,,,,,,,,,,
Cochran,William,Thad,,Thad,12/07/1937,05/30/2019,2,U.S. Senator,Republican,MS,,01/03/1979,04/01/2018,Baptist,White,Professional degree,Law,,,,,Navy,,,108,,,,,,,,,,
Cole,Thomas,J.,,Tom,04/28/1949,,2,U.S. Representative,Republican,OK,4,01/20/2003,01/03/2023,Methodist,Native American,Doctorate degree,Education,,,,,Did not serve,,,108,,,,,,,,,,
Cole,Thomas,J.,,Tom,04/28/1949,,2,U.S. Representative,Republican,OK,4,01/20/2003,01/03/2025,Methodist,Native American,Doctorate degree,Education,,,,,Did not serve,,,108,,,,,,,,,,
Coleman,Norman,,Jr.,,08/17/1949,,2,U.S. Senator,Republican,MN,,01/03/2003,01/05/2009,Jewish,White,Professional degree,Construction/building trades,Law,,,,Did not serve,,,108,,,,,,,,,,
Collins,Michael,Allen,,Mac,10/15/1944,11/27/2018,2,U.S. Representative,Republican,GA,8,01/03/2003,01/03/2005,Methodist,White,High School graduate,Business or banking,,,,,National Guard,,,108,,,,,,,,,,
Collins,Susan,Margaret,,,12/07/1952,,1,U.S. Senator,Republican,ME,,01/20/1997,01/03/2027,Roman Catholic,White,Bachelor's degree,Business or banking,Congressional Aide,Public service/politics,,,Did not serve,,,108,,,,,,,,,,
Combest,Larry,Ed,,,03/20/1945,,2,U.S. Representative,Republican,TX,19,01/03/1985,06/05/2003,Methodist,White,Bachelor's degree,Agriculture,Business or banking,Congressional Aide,Education,,Did not serve,,,108,,,,,,,,,,
Conrad,Kent,,,,05/12/1948,,2,U.S. Senator,Democrat,ND,,01/06/1987,01/03/2013,Unitarian,White,Master's degree,Misc.,Public service/politics,,,,Did not serve,,,108,,,,,,,,,,
Conyers,John,,Jr.,,05/16/1929,10/27/2019,2,U.S. Representative,Democrat,MI,14,01/05/1993,01/03/2013,Baptist,African American,Bachelor's degree,Law,Public service/politics,,,,Army,National Guard,Reserve,108,,,,,,,,,,
Cooper,James,Hayes Shofner,,Jim,06/19/1954,,2,U.S. Representative,Democrat,TN,5,01/20/2003,01/03/2023,Episcopalian,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Cornyn,John,,,,02/02/1952,,2,U.S. Senator,Republican,TX,,12/02/2002,01/03/2027,Church of Christ,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Corzine,Jon,Stevens,,,01/01/1947,,2,U.S. Senator,Democrat,NJ,,01/03/2001,01/02/2007,Methodist,White,Master's degree,,,,,,Did not serve,,,108,,,,,,,,,,
Costello,Jerry,F.,,,09/25/1949,,2,U.S. Representative,Democrat,IL,12,01/04/1993,01/03/2013,Roman Catholic,White,Master's degree,Law Enforcement,,,,,Did not serve,,,108,,,,,,,,,,
Cox,Charles,Christopher,,Chris,10/16/1952,,2,U.S. Representative,Republican,CA,48,01/03/2003,08/02/2005,Roman Catholic,White,Professional degree,Business or banking,,,,,Did not serve,,,108,,,,,,,,,,
Craig,Larry,E.,,,07/20/1945,,2,U.S. Senator,Republican,ID,,01/03/1991,01/02/2009,Methodist,White,Bachelor's degree,Agriculture,Real Estate,,,,National Guard,,,108,,,,,,,,,,
Cramer,Robert,E.,,Bud,08/22/1947,,2,U.S. Representative,Democrat,AL,5,01/03/1991,01/05/2009,Methodist,White,Bachelor's degree,Education,Law,,,,Army,Reserve,Reserve,108,,,,,,,,,,
Crane,Philip,Miller,,,11/03/1930,11/08/2014,2,U.S. Representative,Republican,IL,8,01/05/1993,01/02/2005,Protestant,Not specified,Doctorate degree,Acting/entertainer,Business or banking,Education,,,Army,,,108,,,,,,,,,,
Crapo,Michael,D.,,,05/20/1951,,2,U.S. Senator,Republican,ID,,01/20/1999,01/03/2029,Mormon,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Crenshaw,Ander,,,,11/01/1944,,2,U.S. Representative,Republican,FL,4,01/03/2001,01/03/2017,Episcopalian,White,Professional degree,Business or banking,,,,,Did not serve,,,108,,,,,,,,,,
Crowley,Joseph,,,,03/16/1962,,2,U.S. Representative,Democrat,NY,7,01/03/1999,01/03/2013,Roman Catholic,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,,108,,,,,,,,,,
Cubin,Barbara,,,,11/30/1946,,1,U.S. Representative,Republican,WY,AL,01/04/1995,01/05/2009,Episcopalian,White,Bachelor's degree,Medicine,Real Estate,,,,Did not serve,,,108,,,,,,,,,,
Culberson,John,,,,08/24/1956,,2,U.S. Representative,Republican,TX,7,01/03/2001,01/03/2019,Methodist,White,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Cummings,Elijah,E.,,,01/18/1951,10/17/2019,2,U.S. Representative,Democrat,MD,7,04/16/1996,10/17/2019,Baptist,African American,Professional degree,Law,,,,,Did not serve,,,108,,,,,,,,,,
Cunningham,Randy,,,Duke,12/08/1941,,2,U.S. Representative,Republican,CA,50,01/03/2003,12/01/2005,Baptist,White,Professional degree,Business or banking,Military,,,,Navy,,,108,,,,,,,,,,
